Tempo;Altura;Velocidade
0;0;0
0,0049339999999995;1379;0
0,0086563999999996;1379;0
0,0120883;1379;0
0,0146766;1379;0
0,0188344;1379;0
0,0216805;1379;0
0,025126;1379;0
0,0281991;1379;0
0,0321391;1379;0
0,0347009;1379;0
0,0398258;1379;0
0,0437031;1379;0
0,0463418;1379;0
0,0495604;1379;0
0,053199999999999;1379;0
0,0562426;1379;0
0,060271699999999;1379;0
0,0622638;1379;0
0,0670948;1379;0
0,0711951;1379;0
0,0749215;1379;0
0,0778392;1379;0
0,0820047;1379;0
0,0844901;1379;0
0,0874876;1379;0
0,0907404;1379;0
0,096729499999999;1379;0
0,0990296;1379;0
0,1024587;1379;0
0,1058719;1379;0
0,1087201;1379;0
0,1107106;1379;0
0,1161061;1379;0
0,1202523;1379;0
0,1237266;1379;0
0,1267447;1379;0
0,1299899;1379;0
0,1329076;1379;0
0,1362422;1379;0
0,1385867;1379;0
0,1439713;1379;0
0,1475901;1379;0
0,1506193;1379;0
0,1527511;1379;0
0,1580304;1379;0
0,1610356;1379;0
0,1648283;1379;0
0,1678479;1379;0
0,180536;1379;0
0,1839777;1379;0
0,18812;1379;0
0,1910937;1379;0
0,1937263;1379;0
0,1964607;1379;0
0,1992543;1379;0
0,2017337;1379;0
0,2068271;1379;0
0,2102836;1379;0
0,2127704;1379;0
0,2156029;1379;0
0,220134;1379;0
0,2231524;1379;0
0,2267529;1379;0
0,2298785;1379;0
0,2343101;1379;0
0,2373515;1379;0
0,240334;1379;0
0,2438473;1379;0
0,2515796;1379;0
0,2536815;1379;0
0,2557358;1379;0
0,2581358;1379;0
0,2622038;1379;0
0,2647601;1379;0
0,2693613;1379;0
0,272308;1379;0
0,2757597;1379;0
0,2790051;1379;0
0,2829254;1379;0
0,2857766;1379;0
0,29018;1379;0
0,2931933;1379;0
0,296691;1379;0
0,2999545;1379;0
0,3031119;1379;0
0,3056044;1379;0
0,3109366;1379;0
0,3137293;1379;0
0,3171753;1379;0
0,320178;1379;0
0,3239432;1379;0
0,3271186;1379;0
0,3320989;1379;0
0,3346323;1379;0
0,3387804;1379;0
0,3418002;1379;0
0,3448888;1379;0
0,3475141;1379;0
0,3515915;1379;0
0,3550171;1379;0
0,3593659;1379;0
0,364056;1379;0
0,3681536;1379;0
0,3712847;1379;0
0,3749836;1379;0
0,3796693;1379;0
0,3829161;1379;0
0,3863892;1379;0
0,3896264;1379;0
0,3942282;1379;0
0,3983675;1379;0
0,4023716;1379;0
0,405754;1379;0
0,4089223;1379;0
0,4119194;1379;0
0,414534;1379;0
0,4175982;1379;0
0,4206089;1379;0
0,4241352;1379;0
0,4282124;1379;0
0,4312407;1379;0
0,4347438;1379;0
0,4378122;1379;0
0,4410912;1379;0
0,4441987;1379;0
0,4474385;1379;0
0,4505931;1379;0
0,4537218;1379;0
0,4568431;1379;0
0,4599081;1379;0
0,462851;1379;0
0,4658955;1379;0
0,4700866;1379;0
0,4731416;1379;0
0,4767624;1379;0
0,4796277;1379;0
0,4837216;1379;0
0,4867204;1379;0
0,4909396;1379;0
0,4936835;1379;0
0,4979657;1379;0
0,5009408;1379;0
0,5048848;1379;0
0,5081653;1379;0
0,5124007;1379;0
0,5161615;1379;0
0,5191567;1379;0
0,5223465;1379;0
0,5257884;1379;0
0,5289595;1379;0
