Tempo;Forca Motriz;Tracao;Energia
0,0049339999999995;5000;5000;0
0,0086563999999996;5000;5000;0
0,0120883;5000;5000;0
0,0146766;5000;5000;0
0,0188344;5000;5000;0
0,0216805;5000;5000;0
0,025126;5000;5000;0
0,0281991;5000;5000;0
0,0321391;5000;5000;0
0,0347009;5000;5000;0
0,0398258;5000;5000;0
0,0437031;5000;5000;0
0,0463418;5000;5000;0
0,0495604;5000;5000;0
0,053199999999999;5000;5000;0
0,0562426;5000;5000;0
0,060271699999999;5000;5000;0
0,0622638;5000;5000;0
0,0670948;5000;5000;0
0,0711951;5000;5000;0
0,0749215;5000;5000;0
0,0778392;5000;5000;0
0,0820047;5000;5000;0
0,0844901;5000;5000;0
0,0874876;5000;5000;0
0,0907404;5000;5000;0
0,096729499999999;5000;5000;0
0,0990296;5000;5000;0
0,1024587;5000;5000;0
0,1058719;5000;5000;0
0,1087201;5000;5000;0
0,1107106;5000;5000;0
0,1161061;5000;5000;0
0,1202523;5000;5000;0
0,1237266;5000;5000;0
0,1267447;5000;5000;0
0,1299899;5000;5000;0
0,1329076;5000;5000;0
0,1362422;5000;5000;0
0,1385867;5000;5000;0
0,1439713;5000;5000;0
0,1475901;5000;5000;0
0,1506193;5000;5000;0
0,1527511;5000;5000;0
0,1580304;5000;5000;0
0,1610356;5000;5000;0
0,1648283;5000;5000;0
0,1678479;5000;5000;0
0,180536;5000;5000;0
0,1839777;5000;5000;0
0,18812;5000;5000;0
0,1910937;5000;5000;0
0,1937263;5000;5000;0
0,1964607;5000;5000;0
0,1992543;5000;5000;0
0,2017337;5000;5000;0
0,2068271;5000;5000;0
0,2102836;5000;5000;0
0,2127704;5000;5000;0
0,2156029;5000;5000;0
0,220134;5000;5000;0
0,2231524;5000;5000;0
0,2267529;5000;5000;0
0,2298785;5000;5000;0
0,2343101;5000;5000;0
0,2373515;5000;5000;0
0,240334;5000;5000;0
0,2438473;5000;5000;0
0,2515796;5000;5000;0
0,2536815;5000;5000;0
0,2557358;5000;5000;0
0,2581358;5000;5000;0
0,2622038;5000;5000;0
0,2647601;5000;5000;0
0,2693613;5000;5000;0
0,272308;5000;5000;0
0,2757597;5000;5000;0
0,2790051;5000;5000;0
0,2829254;5000;5000;0
0,2857766;5000;5000;0
0,29018;5000;5000;0
0,2931933;5000;5000;0
0,296691;5000;5000;0
0,2999545;5000;5000;0
0,3031119;5000;5000;0
0,3056044;5000;5000;0
0,3109366;5000;5000;0
0,3137293;5000;5000;0
0,3171753;5000;5000;0
0,320178;5000;5000;0
0,3239432;5000;5000;0
0,3271186;5000;5000;0
0,3320989;5000;5000;0
0,3346323;5000;5000;0
0,3387804;5000;5000;0
0,3418002;5000;5000;0
0,3448888;5000;5000;0
0,3475141;5000;5000;0
0,3515915;5000;5000;0
0,3550171;5000;5000;0
0,3593659;5000;5000;0
0,364056;5000;5000;0
0,3681536;5000;5000;0
0,3712847;5000;5000;0
0,3749836;5000;5000;0
0,3796693;5000;5000;0
0,3829161;5000;5000;0
0,3863892;5000;5000;0
0,3896264;5000;5000;0
0,3942282;5000;5000;0
0,3983675;5000;5000;0
0,4023716;5000;5000;0
0,405754;5000;5000;0
0,4089223;5000;5000;0
0,4119194;5000;5000;0
0,414534;5000;5000;0
0,4175982;5000;5000;0
0,4206089;5000;5000;0
0,4241352;5000;5000;0
0,4282124;5000;5000;0
0,4312407;5000;5000;0
0,4347438;5000;5000;0
0,4378122;5000;5000;0
0,4410912;5000;5000;0
0,4441987;5000;5000;0
0,4474385;5000;5000;0
0,4505931;5000;5000;0
0,4537218;5000;5000;0
0,4568431;5000;5000;0
0,4599081;5000;5000;0
0,462851;5000;5000;0
0,4658955;5000;5000;0
0,4700866;5000;5000;0
0,4731416;5000;5000;0
